Territorio di origine,Età,Stato estero di  destinazione,Periodo,Value,,,,,,,,,,,Flag Codes,Flags
Italia,40-64 anni,Mondo,2002,8367,,,,,,,,,,,,
Italia,40-64 anni,Mondo,2003,10547,,,,,,,,,,,,
Italia,40-64 anni,Mondo,2004,10426,,,,,,,,,,,,
Italia,40-64 anni,Mondo,2005,11297,,,,,,,,,,,,
Italia,40-64 anni,Mondo,2006,12707,,,,,,,,,,,,
Italia,40-64 anni,Mondo,2007,9249,,,,,,,,,,,,
Italia,40-64 anni,Mondo,2008,9813,,,,,,,,,,,,
Italia,40-64 anni,Mondo,2009,9635,,,,,,,,,,,,
Italia,40-64 anni,Mondo,2010,9839,,,,,,,,,,,,
Italia,40-64 anni,Mondo,2011,12664,,,,,,,,,,,,
Italia,40-64 anni,Mondo,2012,18811,,,,,,,,,,,,
Italia,40-64 anni,Mondo,2013,20962,,,,,,,,,,,,
Italia,40-64 anni,Mondo,2014,22170,,,,,,,,,,,,
Italia,40-64 anni,Mondo,2015,25553,,,,,,,,,,,,
Italia,40-64 anni,Mondo,2016,26578,,,,,,,,,,,,
Italia,40-64 anni,Mondo,2017,26302,,,,,,,,,,,,
Italia,40-64 anni,Mondo,2018,26864,,,,,,,,,,,,
Italia,40-64 anni,Mondo,2019,27451,,,,,,,,,,,,
Italia,40-64 anni,Mondo,2020,27610,,,,,,,,,,,,
Italia,totale,Mondo,2002,34056,,,,,,,,,,,,
Italia,totale,Mondo,2003,39866,,,,,,,,,,,,
Italia,totale,Mondo,2004,39155,,,,,,,,,,,,
Italia,totale,Mondo,2005,41991,,,,,,,,,,,,
Italia,totale,Mondo,2006,46308,,,,,,,,,,,,
Italia,totale,Mondo,2007,36299,,,,,,,,,,,,
Italia,totale,Mondo,2008,39536,,,,,,,,,,,,
Italia,totale,Mondo,2009,39024,,,,,,,,,,,,
Italia,totale,Mondo,2010,39545,,,,,,,,,,,,
Italia,totale,Mondo,2011,50057,,,,,,,,,,,,
Italia,totale,Mondo,2012,67998,,,,,,,,,,,,
Italia,totale,Mondo,2013,82095,,,,,,,,,,,,
Italia,totale,Mondo,2014,88859,,,,,,,,,,,,
Italia,totale,Mondo,2015,102259,,,,,,,,,,,,
Italia,totale,Mondo,2016,114512,,,,,,,,,,,,
Italia,totale,Mondo,2017,114559,,,,,,,,,,,,
Italia,totale,Mondo,2018,116732,,,,,,,,,,,,
Italia,totale,Mondo,2019,122020,,,,,,,,,,,,
Italia,totale,Mondo,2020,120950,,,,,,,,,,,,
