"ITTER107_A","Territorio di origine","TIPO_DATO15","Tipo di indicatore demografico","PROV_DEST_Z","Tipo di trasferimento","ISO","Paese di cittadinanza","SEXISTAT1","Sesso","ETA1","Età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","2","femmine","Y_GE65","65 anni e più","2002","2002",1764,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","2","femmine","Y_GE65","65 anni e più","2003","2003",2016,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","2","femmine","Y_GE65","65 anni e più","2004","2004",2553,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","2","femmine","Y_GE65","65 anni e più","2005","2005",2150,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","2","femmine","Y_GE65","65 anni e più","2006","2006",2062,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","2","femmine","Y_GE65","65 anni e più","2007","2007",2863,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","2","femmine","Y_GE65","65 anni e più","2008","2008",5555,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","2","femmine","Y_GE65","65 anni e più","2009","2009",4983,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","2","femmine","Y_GE65","65 anni e più","2010","2010",4153,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","2","femmine","Y_GE65","65 anni e più","2011","2011",3845,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","2","femmine","Y_GE65","65 anni e più","2012","2012",3775,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","2","femmine","Y_GE65","65 anni e più","2013","2013",5296,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","2","femmine","Y_GE65","65 anni e più","2014","2014",4447,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","2","femmine","Y_GE65","65 anni e più","2015","2015",4475,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","2","femmine","Y_GE65","65 anni e più","2016","2016",4990,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","2","femmine","Y_GE65","65 anni e più","2017","2017",5476,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","2","femmine","Y_GE65","65 anni e più","2018","2018",5660,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","2","femmine","Y_GE65","65 anni e più","2019","2019",6698,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","2","femmine","Y_GE65","65 anni e più","2020","2020",4350,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","1","maschi","Y_GE65","65 anni e più","2002","2002",1482,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","1","maschi","Y_GE65","65 anni e più","2003","2003",1577,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","1","maschi","Y_GE65","65 anni e più","2004","2004",2030,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","1","maschi","Y_GE65","65 anni e più","2005","2005",1853,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","1","maschi","Y_GE65","65 anni e più","2006","2006",1504,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","1","maschi","Y_GE65","65 anni e più","2007","2007",2084,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","1","maschi","Y_GE65","65 anni e più","2008","2008",3827,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","1","maschi","Y_GE65","65 anni e più","2009","2009",3161,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","1","maschi","Y_GE65","65 anni e più","2010","2010",2482,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","1","maschi","Y_GE65","65 anni e più","2011","2011",2180,,
"ITTOT","Totale","TREG","iscritti  in anagrafe ","FREIGN","estero","FOR","Foreign country","1","maschi","Y_GE65","65 anni e più","2012","2012",2099,,
